id,title,description,availability,condition,price,link,image_link,brand,inventory,product_type
006624,Aesthetic · Calco #18,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/18,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/18.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006625,Aesthetic · Calco #19,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/19,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/19.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006626,Aesthetic · Calco #20,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/20,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/20.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006627,Aesthetic · Calco #21,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/21,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/21.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006628,Aesthetic · Calco #22,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/22,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/22.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006629,Aesthetic · Calco #23,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/23,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/23.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006630,Aesthetic · Calco #24,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/24,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/24.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006631,Aesthetic · Calco #25,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/25,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/25.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006632,Aesthetic · Calco #26,"Calco premium de Aesthetic. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/aesthetic/26,https://epicalcos.com/.netlify/images?url=/stickers/aesthetic/26.webp&fm=jpg&w=600,EPICALCOS,50,Aesthetic
006633,Animales · Calco #1,"Calco premium de Animales. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/animales/1,https://epicalcos.com/.netlify/images?url=/stickers/animales/1.webp&fm=jpg&w=600,EPICALCOS,50,Animales
